_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Venue,ltable_Year,rtable_Title,rtable_Authors,rtable_Venue,rtable_Year,gold
66394,5669,5673, Buffering accesses to memory-resident index structures," Jingren Zhou,  Kenneth A Ross",Proceedings of the 29th international conference on Very large data bases-Volume 29,2003,Buffering Accesses to Memory-Resident Index Structures.,"Jingren Zhou,Kenneth A. Ross",VLDB,2003,1
71328,35935,6013,BCC: reducing false aborts in optimistic concurrency control with low cost for in-memory databases,"Yuan Yuan, Kaibo Wang, Rubao Lee, Xiaoning Ding, Jing Xing, Spyros Blanas, Xiaodong Zhang",Proceedings of the VLDB Endowment,2016/1/1,"Optimizing Optimistic Concurrency Control for Tree-Structured, Log-Structured Databases","Philip A. Bernstein,Sudipto Das,Bailu Ding,Markus Pilman",SIGMOD Conference,2015,0
73535,6297,6300, Jelly: A language for building community-centric information exploration applications," Sihem Amer-Yahia,  Jian Huang,  Cong Yu",Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,Jelly - A Language for Building Community-Centric Information Exploration Applications.,"Sihem Amer-Yahia,Jian Huang,Cong Yu 0001",ICDE,2009,1
73715,43836,6317, Computational fact checking through query perturbations," You Wu,  Pankaj K Agarwal,  Chengkai Li,  Jun Yang,  Cong Yu",ACM Transactions on Database Systems (TODS),2017,Computational Fact Checking through Query Perturbations.,"You Wu,Pankaj K. Agarwal,Chengkai Li,Jun Yang,Cong Yu",ACM Trans. Database Syst.,2017,1
96770,12282,8434,Report on the Second International Workshop on Data Management on Modern Hardware (DaMoN'06),"Anastasia Ailamaki,Peter A. Boncz,Stefan Manegold",SIGMOD Record,2006,"Report on the Third International Workshop on XQuery Implementation, Experience and Perspectives (XIME-P 2006).","Michael J. Carey 0001,Torsten Grust",SIGMOD Record,2007,1
105738,9017,9015,A cross-service travel engine for trip planning,"Gang Chen,Chen Liu,Meiyu Lu,Beng Chin Ooi,Shanshan Ying,Anthony Tung,Dongxiang Zhang,Meihui Zhang",SIGMOD Conference,2011, A cross-service travel engine for trip planning," Gang Chen,  Chen Liu,  Meiyu Lu,  Beng Chin Ooi,  Shanshan Ying,  Anthony Tung",Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,1
105833,42255,9020, DATABASES SPECIAL SECTION ON MINING LARGE UNCERTAIN AND PROBABILISTIC Guest Editors' Introduction: Special Section on Mining Large Uncertain an...," R Cheng,  M Chau,  M Garofalakis,  JX Yu",IEEE Transactions on Knowledge and Data Engineering,2010, Guest editors' introduction: Special section on peer-to-peer-based data management," Beng Chin Ooi,  Kian-Lee Tan",IEEE Transactions on Knowledge and Data Engineering,2004,0
112486,33441,9478,A Fully Distributed Spatial Index for Wireless Data Broadcast ,Wang-chien Lee,,,(will be inserted by the editor) A Distributed Spatial Index for Error-Prone Wireless Data Broadcast,"Baihua Zheng, Wang-chien Lee, Ken C. K. Lee, Dik Lun Lee, Min Shao, Baihua Zheng, Wang-chien Lee, Ken C. K. Lee, Dik Lun Lee, Min Shao",,,0
122054,45738,10206,XGuard - A System for Publishing XML Documents without Information Leakage in the Presence of Data Inference.,"Xiaochun Yang 0001,Chen Li 0001,Ge Yu,Lei Shi",ICDE,2005,The Case for a Signal-Oriented Data Stream Management System.,"Lewis Girod,Yuan Mei,Ryan Newton,Stanislav Rost,Arvind Thiagarajan,Hari Balakrishnan,Samuel Madden",CIDR,2007,0
154414,4036,12695,FluXQuery: An Optimizing XQuery Processor for Streaming XML Data ,unknown authors,,, FluXQuery: An optimizing XQuery processor for streaming XML data," Christoph Koch,  Stefanie Scherzinger,  Nicole Schweikardt,  Bernhard Stegmaier",Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,1
177886,14094,14096, The DataPath system: a data-centric analytic processing engine for large data warehouses," Subi Arumugam,  Alin Dobra,  Christopher M Jermaine,  Niketan Pansare,  Luis Perez",Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,The DataPath system: a data-centric analytic processing engine for large data warehouses,"Subi Arumugam,Alin Dobra,Christopher M. Jermaine,Niketan Pansare,Luis Perez",SIGMOD Conference,2010,1
182713,43945,14594, Core Database Technology Program Committee," Anastassia Ailamaki,  Gustavo Alonso,  Walid Aref,  Lars Arge,  Brian Babcock,  Mikael Berndtsson",VLDB 2005: 31st International Conference on Very Large Data Bases: Proceedings of the 31st International Conference on Very Large Data Bases; Trondheim; Norway; August 30-September 2; 2005,2005, Core Database Technology Program Committee," Anastassia Ailamaki,  Gustavo Alonso,  Walid Aref,  Lars Arge,  Brian Babcock,  Mikael Berndtsson",VLDB 2005: 31st International Conference on Very Large Data Bases: Proceedings of the 31st International Conference on Very Large Data Bases; Trondheim; Norway; August 30-September 2; 2005,2005,1
182872,23615,14608,MAP-JOIN-REDUCE: Toward Scalable and Efficient Data Analysis on Large Clusters,"David Jiang,Anthony K.  H. Tung,Gang Chen",IEEE Trans. Knowl. Data Eng.,2011,HaLoop: Efficient Iterative Data Processing on Large Clusters,"Yingyi Bu,Bill Howe,Magdalena Balazinska,Michael D. Ernst",PVLDB,2010,0
189577,38179,15166, Stop That Query! The Need for Managing Data Use.," Prasang Upadhyaya,  Nick R Anderson,  Magdalena Balazinska,  Bill Howe,  Raghav Kaushik,  Ravishankar Ramamurthy",CIDR,2013, Stop That Query! The Need for Managing Data Use.," Prasang Upadhyaya,  Nick R Anderson,  Magdalena Balazinska,  Bill Howe,  Raghav Kaushik,  Ravishankar Ramamurthy",CIDR,2013,1
205662,16529,16529,Data Security and Privacy in the IoT.,Elisa Bertino,EDBT,2016,Data Security and Privacy in the IoT.,Elisa Bertino,EDBT,2016,1
207427,16530,16677, Tagging stream data for rich real-time services," Rimma V Nehme,  Elke A Rundensteiner,  Elisa Bertino",Proceedings of the VLDB Endowment,2009,Tagging Stream Data for Rich RealTime,"rimma v nehme,elke a rundensteiner,elisa bertino",Proceedings of the VLDB Endowment,2009,1
208781,34587,16791, A Pivotal Prefix Based Filtering Algorithm for String Similarity Search," Dong Deng,  Guoliang Li,  Jianhua Feng",SIGMOD 2014,2014,GFilter: A General Gram Filter for String Similarity Search,"Haoji Hu,Kai Zheng,Xiaoling Wang,Aoying Zhou",IEEE Trans. Knowl. Data Eng.,2015,0
237887,17575,18667, A data and query model for streaming geospatial image data," Michael Gertz,  Quinn Hart,  Carlos Rueda,  Shefali Singhal,  Jie Zhang",International Conference on Extending Database Technology,2006,A sample-and-clean framework for fast and accurate query processing on dirty data.,"Jiannan Wang,Sanjay Krishnan,Michael J. Franklin,Ken Goldberg,Tim Kraska,Tova Milo",SIGMOD Conference,2014,0
243363,19088,19087,An indexing framework for peer-to-peer systems,"Adina Crainiceanu, Prakash Linga, Ashwin Machanavajjhala, Johannes Gehrke, Jayavel Shanmugasundaram",SIGMOD '04,2004/6/1, An indexing framework for peer-to-peer systems," Adina Crainiceanu,  Prakash Linga,  Ashwin Machanavajjhala,  Johannes Gehrke,  Jayavel Shanmugasundaram",Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,1
246061,19261,19263, Progression analysis of community strengths in dynamic networks," Nan Du,  Jing Gao,  Aidong Zhang",Data Mining (ICDM); 2013 IEEE 13th International Conference on,2013,Progression Analysis of Community Strengths in Dynamic Networks.,"Nan Du,Jing Gao,Aidong Zhang",ICDM,2013,0
260455,20583,20584,On crowdsensed data acquisition using multi-dimensional point processes,"Saket Sathe,Timos K. Sellis,Karl Aberer",ICDE Workshops,2015,On Crowdsensed Data Acquisition using Multi-Dimensional Point Processes,"Saket Sathe, Timos Sellis, Karl Aberer",,,1
268767,20963,20961,Venus: Scalable Real-Time Spatial Queries on Microblogs with Adaptive Load Shedding,"Amr Magdy,Mohamed F. Mokbel,Sameh Elnikety,Suman Nath,Yuxiong He",IEEE Transactions on Knowledge and Data Engineering,2016,Venus: Scalable Real-Time Spatial Queries on Microblogs with Adaptive Load Shedding,"Amr Magdy,Mohamed F. Mokbel,Sameh Elnikety,Suman Nath,Yuxiong He",IEEE Transactions on Knowledge and Data Engineering,2016,1
275703,39233,21334, Range-Efficient Computation of FÂ¾ over Massive Data Streams," A Pavan,  Srikanta Tirthapura",ICDE 2005,2005,Effective computation of biased quantiles over data streams,"Graham Cormode,Flip Korn,S. Muthukrishnan,Divesh Srivastava",21st International Conference on Data Engineering (ICDE'05),2005,0
275843,12691,21348, Schema-based scheduling of event processors and buffer minimization for queries on structured data streams," Christoph Koch,  Stefanie Scherzinger,  Nicole Schweikardt,  Bernhard Stegmaier",Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,Lightweight authentication of linear algebraic queries on data streams,"Stavros Papadopoulos,Graham Cormode,Antonios Deligiannakis,Minos Garofalakis",SIGMOD Conference,2013,0
281127,21745,21743,Cleaning uncertain data with a noisy crowd,"Chen Jason Zhang,Lei Chen,Yongxin Tong,Zheng Liu",2015 IEEE 31st International Conference on Data Engineering,2015,Cleaning uncertain data with a noisy crowd,"Zhang, C.J.,Lei Chen,Yongxin Tong,Zheng Liu",Data Engineering,2015,0
309055,24493,24495,Result selection and summarization for Web Table search,"Nguyen Thanh Tam,Nguyen Quoc Viet Hung,Matthias Weidlich,Karl Aberer",ICDE,2015,Result selection and summarization for Web Table search,"Nguyen Thanh Tam,Nguyen Quoc Viet Hung,Matthias Weidlich,Karl Aberer",2015 IEEE 31st International Conference on Data Engineering,2015,0
315400,25069,25068,Topic Distributions over Links on Web.,"Jie Tang 0001,Jing Zhang 0001,Jeffrey Xu Yu,Zi Yang,Keke Cai,Rui Ma,Li Zhang 0007,Zhong Su",ICDM,2009,Topic Distributions over Links on Web,"Jie Tang, Jing Zhang, Jeffrey Xu Yu, Keke Cai, Li Zhang, Zhong Su",,,1
324245,25800,25794, Winacs: Construction and analysis of web-based computer science information networks," Tim Weninger,  Marina Danilevsky,  Fabio Fumarola,  Joshua Hailpern,  Jiawei Han,  Thomas J Johnston",Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,NewsNetExplorer: Automatic Construction and Exploration of News Information Networks,"Ahmed El-kishky, Jialu Liu, Xiang Ren, Yizhou Sun",,,0
336713,29456,26848,Efficient Processing of Spatial Group Keyword Queries,"Xin Cao, Gao Cong, Tao Guo, Christian S. Jensen, Beng Chin Ooi",ACM Transactions on Database Systems (TODS),2015/6/1,VoR-Tree: R-trees with Voronoi Diagrams for Efficient Processing of Spatial Nearest Neighbor Queries,"Mehdi Sharifzadeh,Cyrus Shahabi",PVLDB,2010,0
357622,32511,28763,Semantics and implementation of continuous sliding window queries over data streams,"Jrgen KrÂ¢‚Â¤mer, Bernhard Seeger",ACM Transactions on Database Systems (TODS),2009/4/1, Safety guarantee of continuous join queries over punctuated data streams," Hua-Gang Li,  Songting Chen,  Junichi Tatemura,  Divyakant Agrawal,  K Seluk Candan,  Wang-Pin Hsiung",Proceedings of the 32nd international conference on Very large data bases,2006,0
379398,6859,30739,Efficient indexing methods for probabilistic threshold queries over uncertain data,"Reynold Cheng, Yuni Xia, Sunil Prabhakar, Rahul Shah, Jeffrey Scott Vitter",VLDB,2004/8/1, Probabilistic convex hull queries over uncertain data," Da Yan,  Zhou Zhao,  Wilfred Ng,  Steven Liu",IEEE Transactions on Knowledge and Data Engineering,2015,0
390724,31479,31478,Using a distributed quadtree index in peer-to-peer networks.,"Egemen Tanin,Aaron Harwood,Hanan Samet",VLDB J.,2007,Using a distributed quadtree index in peer-to-peer networks,"Egemen Tanin, Aaron Harwood, Hanan Samet",The VLDB Journal Â¾ The International Journal on Very Large Data Bases,2007/4/1,1
395603,31827,31825,Fractal prefetching BÂ¢‚Â±Trees: optimizing both cache and disk performance,"Shimin Chen,Phillip B. Gibbons,Todd C. Mowry,Gary Valentin",SIGMOD Conference,2002, Fractal prefetching B+-trees: Optimizing both cache and disk performance," Shimin Chen,  Phillip B Gibbons,  Todd C Mowry,  Gary Valentin",Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,1
439979,43921,35244,Report on the first international workshop on energy data management (EnDM 2012),"Torben Bach Pedersen,Wolfgang Lehner,Gregor Hackenbroich",SIGMOD Record,2013,Report on the Sixth International Workshop on Cloud Data Management (CloudDB 2014)," Shuai Ma,  Xiaofeng Meng,  Fusheng Wang",ACM SIGMOD Record,2014,1
454501,36417,36417,Efficient Learning for Hashing Proportional Data.,"Zhao Xu 0001,Kristian Kersting,Christian Bauckhage",ICDM,2012,Efficient Learning for Hashing Proportional Data.,"Zhao Xu 0001,Kristian Kersting,Christian Bauckhage",ICDM,2012,1
461987,37543,37069, Access Path Selection in Main-Memory Optimized Data Systems: Should I Scan or Should I Probe?," Michael S Kester,  Manos Athanassoulis,  Stratos Idreos",Proceedings of the 2017 ACM International Conference on Management of Data,2017,Access Path Selection in Main-Memory Optimized Data Systems: Should I Scan or Should I Probe?,"Michael S. Kester, Manos Athanassoulis, Stratos Idreos",SIGMOD '17,2017/5/1,1
464101,21237,37281,Methods for finding frequent items in data streams.,"Graham Cormode,Marios Hadjieleftheriou",VLDB J.,2010, Finding frequent items in probabilistic data," Qin Zhang,  Feifei Li,  Ke Yi",Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,0
464717,12329,37357,ORLF: A flexible framework for online record linkage and fusion.,"El Kindi Rezig,Eduard C. Dragut,Mourad Ouzzani,Ahmed K. Elmagarmid,Walid G. Aref",ICDE,2016, A generic and flexible framework for mapping XML documents into relations," Sihem Amer-Yahia,  Fang Du,  Juliana Freire",VLDB04: Proceedings of 30th International Conference on Very Large Data Bases,2004,0
467607,34479,37625, Efficient type-ahead search on relational data: a tastier approach," Guoliang Li,  Shengyue Ji,  Chen Li,  Jianhua Feng",Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009, QUEST: a keyword search system for relational data based on semantic and machine learning techniques," Sonia Bergamaschi,  Francesco Guerra,  Matteo Interlandi,  Raquel Trillo-Lado,  Yannis Velegrakis",Proceedings of the VLDB Endowment,2013,0
489643,39792,39791,An Approach to Eliminate Transaction Blocking in Locking Protocols.,"Divyakant Agrawal,Amr El Abbadi,Richard Jeffers",PODS,1992,An approach to eliminate transaction blocking in locking protocols,"D. Agrawal,A. El Abbadi,R. Jeffers",PODS,1992,0
495131,40431,40430,Efficient Online Summarization of Large-Scale Dynamic Networks.,"Qiang Qu,Siyuan Liu,Feida Zhu,Christian S. Jensen",IEEE Trans. Knowl. Data Eng.,2016, Efficient online summarization of large-scale dynamic networks," Qiang Qu,  Siyuan Liu,  Feida Zhu,  Christian S Jensen",IEEE Transactions on Knowledge and Data Engineering,2016,1
496029,30893,40489,Report on the First International Workshop on Exploratory Search in Databases and the Web (ExploreDB 2014),"Georgia Koutrika, Laks V.S. Lakshmanan, Mirek Riedewald, Kostas Stefanidis",ACM SIGMOD Record,2014/12/1,Report on the Fourth International Workshop on Data Management for Sensor Networks (DMSN 2007)," Magdalena Balazinska,  Amol Deshpande,  Alexandros Labrinidis,  Qiong Luo,  Samuel Madden,  Jun Yang",ACM SIGMOD Record,2007,1
520514,24253,42522,Privacy Risk in Graph Stream Publishing for Social Network Data,"Nigel Medforth,Ke Wang",2011 IEEE 11th International Conference on Data Mining,2011, Privacy policies for shared content in social network sites," Anna C Squicciarini,  Mohamed Shehab,  Joshua Wede",the VLDB Journal,2010,0
521069,42806,42570,Path prediction and predictive range querying in road network databases,"Hoyoung Jeung, Man Lung Yiu, Xiaofang Zhou, Christian S. Jensen",The VLDB Journal Â¾ The International Journal on Very Large Data Bases,2010/8/1, Path prediction and predictive range querying in road network databases," Hoyoung Jeung,  Man Lung Yiu,  Xiaofang Zhou,  Christian S Jensen",the VLDB Journal,2010,1
539800,44212,44211,Towards proximity pattern mining in large graphs.,"Arijit Khan,Xifeng Yan,Kun-Lung Wu",SIGMOD Conference,2010,Towards proximity pattern mining in large graphs,"Arijit Khan, Xifeng Yan, Kun-Lung Wu",SIGMOD '10,2010/6/1,1
553459,43487,45431,Special issue: best papers of VLDB 2009," Serge Abiteboul,  Volker Markl,  Tova Milo,  Jignesh Patel",the VLDB Journal,2011,Special issue on best papers of VLDB 2011," Wolfgang Lehner,  Sunita Sarawagi",the VLDB Journal,2013,1
