id,ClusterID,Title,Authors,Venue,Year,Citations,Source,predictClusterId
186,1800037,Warehousing Workflow Data: Challenges and Opportunities," Angela Bonifati,  Fabio Casati,  Umeshwar Dayal,  Ming-Chien Shan", VLDB,2001,72.0,GoogleScholar,1314550.0
190,1800038, Distributed databases and peer-to-peer databases: past and present," Angela Bonifati,  Panos K Chrysanthis,  Aris M Ouksel,  Kai-Uwe Sattler", ACM SIGMOD Record,2008,58.0,GoogleScholar,1314551.0
196,1800039,Schema mapping and query translation in heterogeneous P2P XML databases," Andrei Arion,  Angela Bonifati,  Gianni Costa,  Sandra dAguanno,  Ioana Manolescu,  Andrea Pugliese", International Conference on Extending Database Technology,2004,55.0,GoogleScholar,1314552.0
206,1800041, gMark: schema-driven generation of graphs and queries," Guillaume Bagan,  Angela Bonifati,  Radu Ciucanu,  George HL Fletcher,  Aurlien Lemay,  Nicky Advokaat", IEEE transactions on knowledge and data engineering,2017,25.0,GoogleScholar,1314554.0
208,1800042, Learning path queries on graph databases," Angela Bonifati,  Radu Ciucanu,  Aurlien Lemay",18th International Conference on Extending Database Technology (EDBT),2015,22.0,GoogleScholar,1314555.0
211,1800043, Algebraic incremental maintenance of XML views," Angela Bonifati,  Martin Goodfellow,  Ioana Manolescu,  Domenica Sileo", ACM Transactions on Database Systems (TODS),2013,21.0,GoogleScholar,1314556.0
215,1800044, Managing distributed workspaces with active XML," Serge Abiteboul,  Jrme Baumgarten,  Angela Bonifati,  Gregory Cobena,  Cosmin Cremarenco,  Florin Dragan",Proceedings of the 29th international conference on Very large data bases-Volume 29,2003,21.0,GoogleScholar,1314557.0
219,1800045, Interactive join query inference with JIM," Angela Bonifati,  Radu Ciucanu,  SÂ¾awek Staworko", Proceedings of the VLDB Endowment,2014,20.0,GoogleScholar,1314558.0
225,1800046,The Spicy system: towards a notion of mapping quality," Angela Bonifati,  Giansalvatore Mecca,  Alessandro Pappalardo,  Salvatore Raunich,  Gianvito Summa",Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,17.0,GoogleScholar,1314559.0
231,1800047,Learning Join Queries from User Examples," Angela Bonifati,  Radu Ciucanu,  SÂ¾awek Staworko", ACM Transactions on Database Systems (TODS),2016,16.0,GoogleScholar,1314560.0
236,1800048, Generating flexible workloads for graph databases," Guillaume Bagan,  Angela Bonifati,  Radu Ciucanu,  George HL Fletcher,  Aurlien Lemay,  Nicky Advokaat", Proceedings of the VLDB Endowment,2016,12.0,GoogleScholar,1314561.0
241,1800049,A trichotomy for regular simple path queries on graphs," Guillaume Bagan,  Angela Bonifati,  Benoit Groz",Proceedings of the 32nd ACM SIGMOD-SIGACT-SIGAI symposium on Principles of database systems,2013,12.0,GoogleScholar,1314562.0
247,1800050, Graph data exchange with target constraints," Iovka Boneva,  Angela Bonifati,  Radu Ciucanu", EDBT/ICDT Workshops-Querying Graph Structured Data (GraphQ),2015,7.0,GoogleScholar,1314563.0
250,1800051, Interactive path query specification on graph databases," Angela Bonifati,  Radu Ciucanu,  Aurlien Lemay",18th International Conference on Extending Database Technology (EDBT),2015,5.0,GoogleScholar,1314564.0
253,1800052,Schema matching and mapping: from usage to evaluation,"Angela Bonifati, Yannis Velegrakis",Proceedings of the 14th International Conference on Extending Database Technology,2011,3.0,GoogleScholar,1314565.0
259,1800053,Interactive Mapping Specification with Exemplar Tuples,"Angela Bonifati,Ugo Comignani,Emmanuel Coquery,Romuald Thion",SIGMOD Conference,2017,3.0,GoogleScholar,1314566.0
264,1800054, An analytical study of large SPARQL query logs,"Angela Bonifati,Wim Martens,Thomas Timm",PVLDB,2017,2.0,GoogleScholar,1314567.0
269,1800055, Stability notions in synthetic graph generation: a preliminary study.," Wilco van Leeuwen,  Angela Bonifati,  George HL Fletcher,  Nikolay Yakovets", EDBT,2017,2.0,GoogleScholar,1314568.0
272,1800056, Lusail: a system for querying linked data at scale," Ibrahim Abdelaziz,  Essam Mansour,  Mourad Ouzzani,  Ashraf Aboulnaga,  Panos Kalnis", Proceedings of the VLDB Endowment,2017,0.0,GoogleScholar,1314569.0
275,1800057, Mapping-equivalence and oid-equivalence of single-function object-creating conjunctive queries," Angela Bonifati,  Werner Nutt,  Riccardo Torlone,  Jan Van den Bussche", The VLDB Journal,2016,0.0,GoogleScholar,1314570.0
282,1800059,Report on the Fourth International Workshop on Data Management for Sensor Networks (DMSN 2007)," Magdalena Balazinska,  Amol Deshpande,  Alexandros Labrinidis,  Qiong Luo,  Samuel Madden,  Jun Yang", ACM SIGMOD Record,2007,0.0,GoogleScholar,1314571.0
291,1800061,Dynamic authenticated index structures for outsourced databases," Feifei Li,  Marios Hadjieleftheriou,  George Kollios,  Leonid Reyzin",Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,375.0,GoogleScholar,1314572.0
297,1800062, MRShare: sharing across multiple queries in MapReduce," Tomasz Nykiel,  Michalis Potamias,  Chaitanya Mishra,  George Kollios,  Nick Koudas", Proceedings of the VLDB Endowment,2010,261.0,GoogleScholar,1314573.0
301,1800063,Selectivity estimators for multidimensional range queries over real attributes," Dimitrios Gunopulos,  George Kollios,  Vassilis J Tsotras,  Carlotta Domeniconi", Acm Sigmod Record,2005,88.0,GoogleScholar,1314574.0
307,1800064, Efficient biased sampling for approximate clustering and outlier detection in large data sets," George Kollios,  Dimitrios Gunopulos,  Nick Koudas,  Stefan Berchtold", IEEE Transactions on Knowledge and Data Engineering,2003,1727.0,GoogleScholar,1314575.0
311,1800065, Efficient indexing of spatiotemporal objects," Marios Hadjieleftheriou,  George Kollios,  Vassilis J Tsotras,  Dimitrios Gunopulos", International Conference on Extending Database Technology,2002,192.0,GoogleScholar,1314576.0
316,1801923, Efficient processing of top-k queries in uncertain databases with x-relations," Ke Yi,  Feifei Li,  George Kollios,  Divesh Srivastava", Proceedings of the VLDB Endowment,2008,26.0,GoogleScholar,1314577.0
320,1800067, K-nearest neighbors in uncertain graphs," Michalis Potamias,  Francesco Bonchi,  Aristides Gionis,  George Kollios", Proceedings of the VLDB Endowment,2010,127.0,GoogleScholar,1314578.0
326,1800068,Indexing Animated Objects Using Spatiotemporal Access Methods," George Kollios,  Vassilis J.  Tsotras,  Dimitrios Gunopulos,  Alex Delis,  Marios Hadjieleftheriou", IEEE Transactions on Knowledge and Data Engineering,2001,127.0,GoogleScholar,1314579.0
340,1800071, Time series compressibility and privacy," Spiros Papadimitriou,  Feifei Li,  George Kollios,  Philip S Yu",Proceedings of the 33rd international conference on Very large data bases,2007,111.0,GoogleScholar,1314580.0
345,1800072, Nearest neighbor retrieval using distance-based hashing," Vassilis Athitsos,  Michalis Potamias,  Panagiotis Papapetrou,  George Kollios",Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,106.0,GoogleScholar,1314581.0
350,1800073, Spatial outsourcing for location-based services," Yin Yang,  Stavros Papadopoulos,  Dimitris Papadias,  George Kollios",Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,92.0,GoogleScholar,1314582.0
355,1800074, Authenticated indexing for outsourced spatial databases," Yin Yang,  Stavros Papadopoulos,  Dimitris Papadias,  George Kollios", The VLDB Journal,2009,90.0,GoogleScholar,1314583.0
368,1800077,Approximate embedding-based subsequence matching of time series,"Vassilis Athitsos, Panagiotis Papapetrou, Michalis Potamias, George Kollios, Dimitrios Gunopulos",Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,74.0,GoogleScholar,1314584.0
374,1800078, Proof-infused streams: Enabling authentication of sliding window queries on streams," Feifei Li,  Ke Yi,  Marios Hadjieleftheriou,  George Kollios",Proceedings of the 33rd international conference on Very large data bases,2007,72.0,GoogleScholar,1314585.0
382,1800080,Fast subsequence matching in time-series databases,"Christos Faloutsos, M. Ranganathan, Yannis Manolopoulos",PROCEEDINGS OF THE 1994 ACM SIGMOD INTERNATIONAL CONFERENCE ON MANAGEMENT OF DATA,2011,528.0,GoogleScholar,1314586.0
388,1800081,Indexing mobile objects using dual transformations," George Kollios,  Dimitris Papadopoulos,  Dimitrios Gunopulos,  J Tsotras", The VLDB JournalThe International Journal on Very Large Data Bases,2005,17.0,GoogleScholar,1314587.0
397,1800083,Robust approximate aggregation in sensor data management systems," Jeffrey Considine,  Marios Hadjieleftheriou,  Feifei Li,  John Byers,  George Kollios",ACM Trans. Database Syst.,2009,41.0,GoogleScholar,1314588.0
405,1800085, Small synopses for group-by query verification on outsourced data streams," Ke Yi,  Feifei Li,  Graham Cormode,  Marios Hadjieleftheriou,  George Kollios,  Divesh Srivastava", ACM Transactions on Database Systems (TODS),2009,36.0,GoogleScholar,1314589.0
411,1800086, Characterizing and exploiting reference locality in data stream applications," Feifei Li,  Ching Chang,  George Kollios,  Azer Bestavros",Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,29.0,GoogleScholar,1314590.0
416,1800087, Reference-based alignment in large sequence databases," Panagiotis Papapetrou,  Vassilis Athitsos,  George Kollios,  Dimitrios Gunopulos", Proceedings of the VLDB Endowment,2009,26.0,GoogleScholar,1314591.0
427,1800089, Hashing methods for temporal data," George Kollios,  Vassilis J Tsotras", IEEE Transactions on Knowledge and Data Engineering,2002,22.0,GoogleScholar,1314592.0
432,1800090,Management of Highly Dynamic Multidimensional Data in a Cluster of Workstations,"Vassil Kriakov,Alex Delis,George Kollios",EDBT,2004,16.0,GoogleScholar,1314593.0
436,1800091,Discovering Frequent Poly-Regions in DNA Sequences," Panagiotis Papapetrou,  Gary Benson,  George Kollios",Data Mining Workshops; 2006. ICDM Workshops 2006. Sixth IEEE International Conference on,2006,14.0,GoogleScholar,1314594.0
441,1800092, Hum-a-song: a subsequence matching with gaps-range-tolerances query-by-humming system," Alexios Kotsifakos,  Panagiotis Papapetrou,  Jaakko Hollmn,  Dimitrios Gunopulos,  Vassilis Athitsos,  George Kollios", Proceedings of the VLDB Endowment,2012,12.0,GoogleScholar,1314595.0
447,1800093, Privacy Preserving Similarity Evaluation of Time Series Data.," Haohan Zhu,  Xianrui Meng,  George Kollios", EDBT,2014,10.0,GoogleScholar,1314596.0
451,1800094,A generic framework for efficient and effective subsequence retrieval,"Haohan Zhu,George Kollios,Vassilis Athitsos",PVLDB,2012,10.0,GoogleScholar,1314597.0
457,1800095, Norm; point; and distance estimation over multiple signals using max-stable distributions," Stilian A Stoev,  Marios Hadjieleftheriou,  George Kollios,  Murad S Taqqu",Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,8.0,GoogleScholar,1314598.0
461,1800096,Sharing across Multiple MapReduce Jobs," Tomasz Nykiel,  Michalis Potamias,  Chaitanya Mishra,  George Kollios,  Nick Koudas", ACM Transactions on Database Systems (TODS),2014,7.0,GoogleScholar,1314599.0
470,1800098, Bed-tree: an all-purpose index structure for string similarity search based on edit distance,"Haohan Zhu,Xianrui Meng,George Kollios",PVLDB,2017,2.0,GoogleScholar,1314600.0
474,1800099, Core Database Technology Program Committee," Anastassia Ailamaki,  Gustavo Alonso,  Walid Aref,  Lars Arge,  Brian Babcock,  Mikael Berndtsson",VLDB 2005: 31st International Conference on Very Large Data Bases: Proceedings of the 31st International Conference on Very Large Data Bases; Trondheim; Norway; August 30-September 2; 2005,2005,0.0,GoogleScholar,1314601.0
477,1800101,Generic Schema Matching with Cupid," Jayant Madhavan,  Philip A Bernstein,  Erhard Rahm",In The VLDB Journal,2001,593.0,GoogleScholar,1314602.0
482,1800102, Similarity search for web services," Xin Dong,  Alon Halevy,  Jayant Madhavan,  Ema Nemes,  Jun Zhang",Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,896.0,GoogleScholar,1314603.0
486,1800103,Reference reconciliation in complex information spaces," Xin Dong,  Alon Halevy,  Jayant Madhavan",Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,636.0,GoogleScholar,1314604.0
492,1800104, Learning to match ontologies on the semantic web," AnHai Doan,  Jayant Madhavan,  Robin Dhamankar,  Pedro Domingos,  Alon Halevy", The VLDB Journal,2003,618.0,GoogleScholar,1314605.0
503,1800108, The Piazza peer data management project," Igor Tatarinov,  Zachary Ives,  Jayant Madhavan,  Alon Halevy,  Dan Suciu,  Nilesh Dalvi", ACM Sigmod Record,2003,263.0,GoogleScholar,1314606.0
514,1800109, Recovering semantics of tables on the web," Michael J Cafarella,  Alon Halevy,  Daisy Zhe Wang,  Eugene Wu,  Yang Zhang", Proceedings of the VLDB Endowment,2011,0.0,GoogleScholar,1314607.0
520,1800110, Generic schema matching; ten years later," Philip A Bernstein,  Jayant Madhavan,  Erhard Rahm", Proceedings of the VLDB Endowment,2011,215.0,GoogleScholar,1314608.0
521,1800111, Google fusion tables: web-centered data management and collaboration," Hector Gonzalez,  Alon Y Halevy,  Christian S Jensen,  Anno Langen,  Jayant Madhavan,  Rebecca Shapley",Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,175.0,GoogleScholar,1314609.0
527,1800112, Harvesting relational tables from lists on the web," Hazem Elmeleegy,  Jayant Madhavan,  Alon Halevy", Proceedings of the VLDB Endowment,2011,130.0,GoogleScholar,1314610.0
532,1800113,Personal information management with SEMEX," Yuhan Cai,  Xin Luna Dong,  Alon Halevy,  Jing Michelle Liu,  Jayant Madhavan",Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,129.0,GoogleScholar,1314611.0
542,1800115, Web-scale extraction of structured data," Michael J Cafarella,  Jayant Madhavan,  Alon Halevy", ACM SIGMOD Record,2009,92.0,GoogleScholar,1314612.0
548,1800116, Openii: an open source information integration toolkit," Len Seligman,  Peter Mork,  Alon Halevy,  Ken Smith,  Michael J Carey,  Kuang Chen",Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,72.0,GoogleScholar,1314613.0
552,1800117, Data management projects at Google," Michael Cafarella,  Edward Chang,  Andrew Fikes,  Alon Halevy,  Wilson Hsieh,  Alberto Lerner", ACM SIGMOD Record,2008,43.0,GoogleScholar,1314614.0
562,1800120,Efficient spatial sampling of large geographical tables," Anish Das Sarma,  Hongrae Lee,  Hector Gonzalez,  Jayant Madhavan,  Alon Halevy",Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,29.0,GoogleScholar,1314615.0
568,1800121, Exploring schema repositories with schemr," Kuang Chen,  Akshay Kannan,  Jayant Madhavan,  Alon Halevy", ACM SIGMOD Record,2009,29.0,GoogleScholar,1314616.0
573,1800122, Self-organizing data sharing communities with SAGRES," Zachary Ives,  Alon Levy,  Jayant Madhavan,  Rachel Pottinger,  Stefan Saroiu,  Igor Tatarinov", ACM SIGMOD Record,2000,13.0,GoogleScholar,1314617.0
578,1800123,Consistent thinning of large geographical data for map visualization," Anish Das Sarma,  Hongrae Lee,  Hector Gonzalez,  Jayant Madhavan,  Alon Halevy", ACM Transactions on Database Systems (TODS),2013,7.0,GoogleScholar,1314618.0
583,1802380, Recent progress towards an ecosystem of structured data on the Web," Nitin Gupta,  Alon Y Halevy,  Boulos Harb,  Heidi Lam,  Hongrae Lee,  Jayant Madhavan",Data Engineering (ICDE); 2013 IEEE 29th International Conference on,2013,3.0,GoogleScholar,1314619.0
587,1800125, Using SSDs to scale up Google Fusion Tables; a database-in-the-cloud," Yingyi Bu,  Felix Halim,  Changkyu Kim,  Hongrae Lee,  Jayant Madhavan",Data Engineering (ICDE); 2016 IEEE 32nd International Conference on,2016,0.0,GoogleScholar,1314620.0
591,1801274,Distributed similarity search in high dimensions using locality sensitive hashing,"Parisa Haghani, Sebastian Michel, Karl Aberer",Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,80.0,GoogleScholar,1314621.0
596,1800127, Finding interesting associations without support pruning," Edith Cohen,  Mayur Datar,  Shinji Fujiwara,  Aristides Gionis,  Piotr Indyk,  Rajeev Motwani", IEEE Transactions on Knowledge and Data Engineering,2001,523.0,GoogleScholar,1314622.0
600,1800128, XTRACT: a system for extracting document type descriptors from XML documents," Minos Garofalakis,  Aristides Gionis,  Rajeev Rastogi,  Sridhar Seshadri,  Kyuseok Shim", ACM SIGMOD Record,2000,321.0,GoogleScholar,1314623.0
610,1800131, k-Anonymization with minimal loss of information," Aristides Gionis,  Tamir Tassa", IEEE Transactions on Knowledge and Data Engineering,2009,68.0,GoogleScholar,1314624.0
613,1800132,Mining Large Networks with Subgraph Counting,"Ilaria Bordino,Debora Donato,Aristides Gionis,Stefano Leonardi",Data Mining; 2008. ICDM'08. Eighth IEEE International Conference on,2008,62.0,GoogleScholar,1314625.0
617,1800133, Efficient and tumble similar set retrieval," Aristides Gionis,  Dimitrios Gunopulos,  Nick Koudas", ACM SIGMOD Record,2001,59.0,GoogleScholar,1314626.0
620,1800134, Injecting uncertainty in graphs for identity obfuscation," Paolo Boldi,  Francesco Bonchi,  Aristides Gionis,  Tamir Tassa", Proceedings of the VLDB Endowment,2012,58.0,GoogleScholar,1314627.0
631,1800137,Social content matching in MapReduce,"Gianmarco De Francisci Morales,Aristides Gionis,Mauro Sozio",PVLDB,2011,48.0,GoogleScholar,1314628.0
637,1800138,What is the Dimension of Your Binary Data?," Nikolaj Tatti,  Taneli Mielikainen,  Aristides Gionis,  Heikki Mannila",Data Mining; 2006. ICDM'06. Sixth International Conference on,2006,43.0,GoogleScholar,1314629.0
641,1800139, Fast Reliability Search in Uncertain Graphs.," Arijit Khan,  Francesco Bonchi,  Aristides Gionis,  Francesco Gullo", EDBT,2014,33.0,GoogleScholar,1314630.0
645,1800140, Optimal segmentation using tree models," Robert Gwadera,  Aristides Gionis,  Heikki Mannila",Data Mining; 2006. ICDM'06. Sixth International Conference on,2006,24.0,GoogleScholar,1314631.0
659,1800143, Distance oracles in edge-labeled graphs.," Francesco Bonchi,  Aristides Gionis,  Francesco Gullo,  Antti Ukkonen", EDBT,2014,14.0,GoogleScholar,1314632.0
663,1800144, Bump hunting in the dark: Local discrepancy maximization on graphs," Aristides Gionis,  Michael Mathioudakis,  Antti Ukkonen", IEEE transactions on knowledge and data engineering,2017,9.0,GoogleScholar,1314633.0
668,1800146, Absorbing random-walk centrality: Theory and algorithms," Charalampos Mavroforakis,  Michael Mathioudakis,  Aristides Gionis",Data Mining (ICDM); 2015 IEEE International Conference on,2015,8.0,GoogleScholar,1314634.0
675,1800148, A combinatorial approach to role discovery,"Albert Arockiasamy,Aristides Gionis,Nikolaj Tatti",Data Mining (ICDM); 2016 IEEE 16th International Conference on,2016,0.0,GoogleScholar,1314635.0
679,1800149, Efficient similarity joins for near-duplicate detection," Chuan Xiao,  Wei Wang,  Xuemin Lin,  Jeffrey Xu Yu,  Guoren Wang", ACM Transactions on Database Systems (TODS),2011,102.0,GoogleScholar,1314636.0
684,1804648,Ed-Join: an efficient algorithm for similarity joins with edit distance constraints," Chuan Xiao,  Wei Wang,  Xuemin Lin", Proceedings of the VLDB Endowment,2012,211.0,GoogleScholar,1314637.0
696,1800153,Efficient exact edit similarity query processing with the asymmetric signature scheme," Jianbin Qin,  Wei Wang,  Yifei Lu,  Chuan Xiao,  Xuemin Lin",Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,19.0,GoogleScholar,1314638.0
718,1800158, A partition-based approach to structure similarity search," Xiang Zhao,  Chuan Xiao,  Xuemin Lin,  Qing Liu,  Wenjie Zhang", Proceedings of the VLDB Endowment,2013,23.0,GoogleScholar,1314639.0
724,1800159,Asymmetric signature schemes for efficient exact edit similarity query processing," Jianbin Qin,  Wei Wang,  Chuan Xiao,  Yifei Lu,  Xuemin Lin,  Haixun Wang", ACM Transactions on Database Systems (TODS),2013,7.0,GoogleScholar,1314640.0
729,1800160, Local similarity search for unstructured text," Pei Wang,  Chuan Xiao,  Jianbin Qin,  Wei Wang,  Xiaoyang Zhang,  Yoshiharu Ishikawa",Proceedings of the 2016 International Conference on Management of Data,2016,4.0,GoogleScholar,1314641.0
732,1800161,Trie-based similarity search and join," Jianbin Qin,  Xiaoling Zhou,  Wei Wang,  Chuan Xiao",Proceedings of the Joint EDBT/ICDT 2013 Workshops,2013,4.0,GoogleScholar,1314642.0
738,1800162, BEVA: An Efficient Query Processing Algorithm for Error-Tolerant Autocompletion," Xiaoling Zhou,  Jianbin Qin,  Chuan Xiao,  Wei Wang,  Xuemin Lin,  Yoshiharu Ishikawa", ACM Transactions on Database Systems (TODS),2016,1.0,GoogleScholar,1314643.0
746,1800164, The Clio project: managing heterogeneity," Rene J Miller,  Mauricio A Hernndez,  Laura M Haas,  Ling-Ling Yan,  CT Howard Ho,  Ronald Fagin", SIgMOD Record,2001,419.0,GoogleScholar,1314644.0
750,1800165,Data exchange: getting to the core," Ronald Fagin,  Phokion G Kolaitis,  Lucian Popa", ACM Transactions on Database Systems (TODS),2005,388.0,GoogleScholar,1314645.0
754,1800166, Composing schema mappings: Second-order dependencies to the rescue," Ronald Fagin,  Phokion G Kolaitis,  Lucian Popa,  Wang-Chiew Tan", ACM Transactions on Database Systems (TODS),2005,352.0,GoogleScholar,1314646.0
759,1800167, Clio grows up: from research prototype to industrial tool," Laura M Haas,  Mauricio A Hernndez,  Howard Ho,  Lucian Popa,  Mary Roth",Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,317.0,GoogleScholar,1314647.0
765,1800168, Constraint-based XML query rewriting for data integration,"Cong Yu, Lucian Popa",Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,247.0,GoogleScholar,1314648.0
